Nilai Aktual,Nilai Prediksi
1781,0.0,4.6056175
1782,0.5,4.562902
1783,10.0,6.294701
1784,0.0,8.701496
1785,0.2,8.136092
1786,1.5,7.9525228
1787,5.2,7.553104
1788,92.6,7.308529
1789,12.5,1.5318274
1790,0.5,0.69148916
1791,7.8,4.6383195
1792,0.0,13.714072
1793,1.4,20.505611
1794,59.0,9.472081
1795,12.5,11.103473
1796,12.5,3.3396473
1797,10.8,19.972713
1798,12.5,35.916817
1799,6.2,26.288818
1800,0.3,-0.32265943
1801,29.6,6.2088733
1802,4.3,10.40711
1803,0.8,6.256532
1804,15.6,4.13436
1805,1.8,5.5832243
1806,0.0,6.2476845
1807,1.7,5.890916
1808,2.5,6.7427416
1809,9.0,8.195341
1810,53.2,8.487965
1811,2.0,2.5829113
1812,60.0,4.9937806
1813,7.5,2.8227878
1814,1.8,26.363716
1815,0.8,37.320194
1816,8.9,1.6691208
1817,13.8,14.734436
1818,0.0,27.566936
1819,9.0,13.920372
1820,0.0,5.5920744
1821,1.8,5.756494
1822,4.4,5.601823
1823,19.0,6.466245
1824,8.9,8.4038725
1825,0.1,7.5695863
1826,0.0,8.346963
1827,11.5,6.3742166
1828,0.4,6.31179
1829,0.8,5.607591
1830,9.0,5.453634
1831,1.2,6.3146977
1832,3.5,5.916447
1833,14.0,6.0127144
1834,2.5,7.2127376
1835,7.5,6.430918
1836,0.2,6.8214226
1837,18.1,6.5297303
1838,26.7,7.909887
1839,5.7,6.826931
1840,0.0,6.486027
1841,0.0,10.095453
1842,31.9,10.944717
1843,0.0,10.565894
1844,6.5,10.080802
1845,14.5,8.283445
1846,10.6,8.288345
1847,0.9,7.60828
1848,3.4,6.0140333
1849,22.8,10.686161
1850,41.5,7.3560033
1851,0.2,4.300582
1852,17.4,5.1618853
1853,14.0,7.505783
1854,11.0,11.518794
1855,0.0,10.285134
1856,2.0,16.14581
1857,7.4,11.864817
1858,5.8,7.0727916
1859,100.0,9.80881
1860,58.0,8.4504
1861,2.6,3.1388228
1862,60.5,19.14278
1863,43.5,34.28328
1864,0.0,40.676632
1865,47.0,19.477879
1866,58.0,5.5014563
1867,49.3,-0.48911905
1868,0.0,24.316689
1869,16.1,49.208305
1870,16.1,4.048344
1871,2.0,26.957026
1872,0.0,25.519547
1873,0.0,10.991919
1874,0.2,3.9888296
1875,33.0,2.8288126
1876,16.1,5.5160146
1877,16.1,11.831239
1878,9.9,16.935266
1879,4.8,23.511713
1880,0.0,23.321901
1881,0.0,6.0292563
1882,16.1,-7.3067703
1883,1.8,18.18007
1884,1.5,43.500843
1885,33.8,19.122137
1886,2.3,21.529325
1887,16.1,11.192909
1888,5.9,8.660026
1889,13.6,15.055294
1890,1.8,12.564464
1891,3.4,15.191792
1892,38.0,16.202644
1893,0.5,9.790136
1894,0.0,12.339595
1895,1.6,2.9681087
1896,52.6,0.6849981
1897,60.8,6.964584
1898,7.0,1.3385589
1899,46.0,0.91594726
1900,0.0,-1.6280231
1901,0.0,11.563504
1902,0.0,23.875832
1903,1.0,60.1586
1904,51.7,19.852177
1905,3.0,8.170716
1906,3.0,0.88978565
1907,13.6,-1.8538862
1908,29.4,-3.6571195
1909,0.2,-1.1208477
1910,13.6,28.207645
1911,13.2,41.03803
1912,0.0,32.97166
1913,13.6,2.6663654
1914,7.2,-6.1592264
1915,3.2,14.365383
1916,0.8,44.128094
1917,16.2,51.47854
1918,13.6,14.142437
1919,13.0,14.355669
1920,5.3,16.118235
1921,0.0,21.891735
1922,5.3,23.031393
1923,1.4,4.451228
1924,3.6,7.2738323
1925,5.3,12.844129
1926,44.8,10.848576
1927,4.8,5.5697694
1928,0.0,7.6738553
1929,0.0,7.018995
1930,0.0,5.588256
1931,3.0,6.5250645
1932,5.3,7.5426617
1933,12.4,7.8095584
1934,6.4,7.8951583
1935,0.0,8.405923
1936,0.2,7.6526585
1937,0.2,5.8323455
1938,0.0,4.67085
1939,0.0,4.224367
1940,0.0,4.276229
1941,10.6,4.5067673
1942,0.0,5.5564494
1943,0.0,6.10522
1944,0.0,5.111561
1945,44.8,4.5421944
1946,5.3,7.250116
1947,0.0,6.710571
1948,0.0,7.040686
1949,0.0,6.4416194
