tanggal,prec
10-09-2020,0.0
11-09-2020,3.3
12-09-2020,0.0
13-09-2020,0.0
14-09-2020,3.3
15-09-2020,0.0
16-09-2020,0.0
17-09-2020,3.3
18-09-2020,0.0
19-09-2020,3.3
20-09-2020,0.0
21-09-2020,0.0
22-09-2020,9.6
23-09-2020,1.7
24-09-2020,0.0
25-09-2020,3.3
26-09-2020,0.0
27-09-2020,6.2
28-09-2020,16.8
29-09-2020,3.3
30-09-2020,0.0
01-10-2020,6.5
02-10-2020,6.8
03-10-2020,18.8
04-10-2020,6.5
05-10-2020,6.5
06-10-2020,0.0
07-10-2020,6.5
08-10-2020,0.0
09-10-2020,0.0
10-10-2020,0.0
11-10-2020,6.3
12-10-2020,6.5
13-10-2020,39.0
14-10-2020,0.0
15-10-2020,15.6
16-10-2020,31.5
17-10-2020,6.5
18-10-2020,0.0
19-10-2020,0.0
20-10-2020,0.0
21-10-2020,1.0
22-10-2020,8.2
23-10-2020,0.4
24-10-2020,1.0
25-10-2020,1.0
26-10-2020,0.0
27-10-2020,1.7
28-10-2020,12.7
29-10-2020,8.2
30-10-2020,6.5
31-10-2020,4.8
01-11-2020,6.5
02-11-2020,38.0
03-11-2020,8.8
04-11-2020,3.3
05-11-2020,6.4
06-11-2020,8.5
07-11-2020,0.0
08-11-2020,11.0
09-11-2020,34.7
10-11-2020,5.0
11-11-2020,2.5
12-11-2020,0.2
13-11-2020,0.0
14-11-2020,0.0
15-11-2020,0.5
16-11-2020,0.2
17-11-2020,21.5
18-11-2020,9.5
19-11-2020,12.0
20-11-2020,1.7
21-11-2020,19.9
22-11-2020,8.8
23-11-2020,8.8
24-11-2020,8.8
25-11-2020,10.0
26-11-2020,8.8
27-11-2020,0.0
28-11-2020,0.3
29-11-2020,0.4
30-11-2020,27.6
01-12-2020,13.5
02-12-2020,0.4
03-12-2020,74.9
04-12-2020,13.5
05-12-2020,3.1
06-12-2020,8.5
07-12-2020,24.7
08-12-2020,18.6
09-12-2020,16.8
10-12-2020,15.5
11-12-2020,20.0
12-12-2020,13.0
13-12-2020,11.8
14-12-2020,0.0
15-12-2020,1.0
16-12-2020,1.8
17-12-2020,10.7
18-12-2020,9.9
19-12-2020,66.0
20-12-2020,14.8
21-12-2020,0.0
22-12-2020,13.5
23-12-2020,13.5
24-12-2020,8.5
25-12-2020,13.0
26-12-2020,2.3
27-12-2020,0.3
28-12-2020,5.0
29-12-2020,11.5
30-12-2020,3.5
31-12-2020,9.0
01-01-2021,3.5
02-01-2021,3.0
03-01-2021,8.0
04-01-2021,1.9
05-01-2021,8.0
06-01-2021,0.5
07-01-2021,8.0
08-01-2021,0.7
09-01-2021,28.3
10-01-2021,6.0
11-01-2021,4.1
12-01-2021,0.8
13-01-2021,4.0
14-01-2021,2.8
15-01-2021,8.0
16-01-2021,0.0
17-01-2021,1.0
18-01-2021,15.0
19-01-2021,42.4
20-01-2021,8.9
21-01-2021,8.0
22-01-2021,9.5
23-01-2021,7.7
24-01-2021,0.0
25-01-2021,2.3
26-01-2021,0.0
27-01-2021,11.0
28-01-2021,10.3
29-01-2021,10.2
30-01-2021,13.5
31-01-2021,20.0
01-02-2021,16.0
02-02-2021,5.2
03-02-2021,5.1
04-02-2021,79.0
05-02-2021,32.0
06-02-2021,101.0
07-02-2021,55.3
08-02-2021,42.3
09-02-2021,34.5
10-02-2021,5.0
11-02-2021,4.4
12-02-2021,25.5
13-02-2021,9.4
14-02-2021,28.0
15-02-2021,12.6
16-02-2021,16.5
17-02-2021,7.0
18-02-2021,28.0
19-02-2021,5.5
20-02-2021,18.5
21-02-2021,1.8
22-02-2021,0.7
23-02-2021,0.4
24-02-2021,52.4
25-02-2021,61.5
26-02-2021,57.8
27-02-2021,28.0
28-02-2021,1.0
01-03-2021,0.4
02-03-2021,0.0
03-03-2021,0.0
04-03-2021,0.0
05-03-2021,4.4
06-03-2021,0.0
07-03-2021,1.0
08-03-2021,8.8
09-03-2021,7.0
10-03-2021,3.0
11-03-2021,5.8
12-03-2021,0.0
13-03-2021,15.6
14-03-2021,14.0
15-03-2021,5.8
16-03-2021,3.0
17-03-2021,0.4
18-03-2021,0.0
19-03-2021,2.3
20-03-2021,5.8
21-03-2021,5.8
22-03-2021,14.8
23-03-2021,0.0
24-03-2021,0.0
25-03-2021,5.8
26-03-2021,8.5
27-03-2021,5.8
28-03-2021,0.2
29-03-2021,23.7
30-03-2021,35.0
31-03-2021,4.2
